rule	path	line	owner	class	evidence
V27?	03_infra/src/shaper.rs	2394	get_item_y	OVERLAP-OR-SUBSUMPTION	7 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. } | FrameItem::Link { pos, .. }]
V27?	03_infra/src/shaper.rs	2508	fix_line_positions_page	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::TextShaped { style, .. } | FrameItem::Text { style, .. }]
V27?	03_infra/src/query_helpers.rs	270	has_any_text	BINDING-DEPENDENT	2 arms [Content::ListItem(item) | Content::EnumItem(item)]
V27?	03_infra/src/query_helpers.rs	276	has_any_text	OVERLAP-OR-SUBSUMPTION	3 arms [Content::Styled(body, _) | Content::Par { body } | Content::SmallCaps { body }]
V27?	03_infra/src/query_helpers.rs	293	has_any_text	BINDING-DEPENDENT	2 arms [Content::GridCell(cell) | Content::TableCell(cell)]
V27?	03_infra/src/query_helpers.rs	349	count_variant	BINDING-DEPENDENT	2 arms [Content::ListItem(item) | Content::EnumItem(item)]
V27?	03_infra/src/query_helpers.rs	353	count_variant	OVERLAP-OR-SUBSUMPTION	3 arms [Content::Styled(body, _) | Content::Par { body } | Content::SmallCaps { body }]
V27?	03_infra/src/query_helpers.rs	370	count_variant	BINDING-DEPENDENT	2 arms [Content::GridCell(cell) | Content::TableCell(cell)]
V27?	03_infra/src/layout_bidi.rs	96	item_baseline_y	OVERLAP-OR-SUBSUMPTION	7 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. } | FrameItem::Link { pos, .. }]
V27?	03_infra/src/layout_bidi.rs	113	item_x	OVERLAP-OR-SUBSUMPTION	7 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. } | FrameItem::Link { pos, .. }]
V27?	03_infra/src/integration_tests.rs	2061	frame_item_pos	OVERLAP-OR-SUBSUMPTION	7 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. } | FrameItem::Link { pos, .. }]
V27?	03_infra/src/integration_tests.rs	3715	texto_do_doc	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { text, .. } | FrameItem::TextShaped { text, .. }]
V27?	03_infra/src/fonts.rs	517	find_exception	DECLARATIVE-TABLE	3 arms ["Arial-Black" | "STKaitiSC-Black" | "STKaitiTC-Black"]
V27?	03_infra/src/fonts.rs	521	find_exception	DECLARATIVE-TABLE	4 arms ["ArchivoNarrow-Regular" | "ArchivoNarrow-Italic" | "ArchivoNarrow-Bold" | "ArchivoNarrow-BoldItalic"]
V27?	03_infra/src/fonts.rs	527	find_exception	DECLARATIVE-TABLE	4 arms ["FandolHei-Bold" | "FandolSong-Bold" | "STKaitiSC-Bold" | "STKaitiTC-Bold"]
V27?	03_infra/src/fonts.rs	536	find_exception	DECLARATIVE-TABLE	3 arms ["NotoSans-DisplayBlackItalic" | "NotoSans-DisplayLightItalic" | "NotoSans-DisplayThinItalic"]
V27?	03_infra/src/fonts.rs	537	find_exception	DECLARATIVE-TABLE	34 arms ["NotoSans-DisplayCondensedBlackItalic" | "NotoSans-DisplayCondensedBold" | "NotoSans-DisplayCondensedBoldItalic" | "NotoSans-DisplayCondensedExtraBoldItalic" | "NotoSans-DisplayCondensedExtraLightItalic" | "NotoSans-DisplayCondensedItalic" | "NotoSans-DisplayCondensedLightItalic" | "NotoSans-DisplayCondensedMediumItalic" | "NotoSans-DisplayCondensedSemiBoldItalic" | "NotoSans-DisplayCondensedThinItalic" | "NotoSans-DisplayExtraBoldItalic" | "NotoSans-DisplayExtraCondensedBlackItalic" | "NotoSans-DisplayExtraCondensedBold" | "NotoSans-DisplayExtraCondensedBoldItalic" | "NotoSans-DisplayExtraCondensedExtraBoldItalic" | "NotoSans-DisplayExtraCondensedExtraLightItalic" | "NotoSans-DisplayExtraCondensedItalic" | "NotoSans-DisplayExtraCondensedLightItalic" | "NotoSans-DisplayExtraCondensedMediumItalic" | "NotoSans-DisplayExtraCondensedSemiBoldItalic" | "NotoSans-DisplayExtraCondensedThinItalic" | "NotoSans-DisplayExtraLightItalic" | "NotoSans-DisplayMediumItalic" | "NotoSans-DisplaySemiBoldItalic" | "NotoSans-DisplaySemiCondensedBlackItalic" | "NotoSans-DisplaySemiCondensedBold" | "NotoSans-DisplaySemiCondensedBoldItalic" | "NotoSans-DisplaySemiCondensedExtraBoldItalic" | "NotoSans-DisplaySemiCondensedExtraLightItalic" | "NotoSans-DisplaySemiCondensedItalic" | "NotoSans-DisplaySemiCondensedLightItalic" | "NotoSans-DisplaySemiCondensedMediumItalic" | "NotoSans-DisplaySemiCondensedSemiBoldItalic" | "NotoSans-DisplaySemiCondensedThinItalic"]
V27?	03_infra/src/fonts.rs	644	find_exception	DECLARATIVE-TABLE	3 arms ["NotoSerif-DisplayCondensedBold" | "NotoSerif-DisplayExtraCondensedBold" | "NotoSerif-DisplaySemiCondensedBold"]
V27?	03_infra/src/fonts.rs	654	find_exception	DECLARATIVE-TABLE	2 arms ["NewCM08-Book" | "NewCM08-BookItalic"]
V27?	03_infra/src/fonts.rs	660	find_exception	DECLARATIVE-TABLE	2 arms ["NewCM08-Italic" | "NewCM08-Regular"]
V27?	03_infra/src/fonts.rs	662	find_exception	DECLARATIVE-TABLE	4 arms ["NewCM10-Bold" | "NewCM10-BoldItalic" | "NewCM10-Italic" | "NewCM10-Regular"]
V27?	03_infra/src/fonts.rs	670	find_exception	DECLARATIVE-TABLE	2 arms ["NewCMMath-Bold" | "NewCMMath-Regular"]
V27?	03_infra/src/fonts.rs	675	find_exception	DECLARATIVE-TABLE	3 arms ["NewCMMono10-Bold" | "NewCMMono10-Italic" | "NewCMMono10-Regular"]
V27?	03_infra/src/fonts.rs	679	find_exception	DECLARATIVE-TABLE	2 arms ["NewCMMono10-Book" | "NewCMMono10-BookItalic"]
V27?	03_infra/src/fonts.rs	687	find_exception	DECLARATIVE-TABLE	2 arms ["NewCMSans08-Book" | "NewCMSans08-BookOblique"]
V27?	03_infra/src/fonts.rs	693	find_exception	DECLARATIVE-TABLE	2 arms ["NewCMSans08-Oblique" | "NewCMSans08-Regular"]
V27?	03_infra/src/fonts.rs	699	find_exception	DECLARATIVE-TABLE	2 arms ["NewCMSans10-Bold" | "NewCMSans10-Regular"]
V27?	03_infra/src/fonts.rs	717	find_exception	DECLARATIVE-TABLE	2 arms ["NewCMUncial08-Bold" | "NewCMUncial08-Regular"]
V27?	03_infra/src/fonts.rs	738	find_exception	DECLARATIVE-TABLE	3 arms ["LMMonoLt10-Regular" | "LMMonoPropLt10-Regular" | "LMMonoPropLt10-Oblique"]
V27?	03_infra/src/fonts.rs	749	find_exception	DECLARATIVE-TABLE	2 arms ["LMRoman5-Regular" | "LMRoman5-Bold"]
V27?	03_infra/src/fonts.rs	750	find_exception	DECLARATIVE-TABLE	2 arms ["LMRoman6-Regular" | "LMRoman6-Bold"]
V27?	03_infra/src/fonts.rs	751	find_exception	DECLARATIVE-TABLE	3 arms ["LMRoman7-Regular" | "LMRoman7-Italic" | "LMRoman7-Bold"]
V27?	03_infra/src/fonts.rs	752	find_exception	DECLARATIVE-TABLE	4 arms ["LMRoman8-Regular" | "LMRoman8-Italic" | "LMRoman8-Bold" | "LMRomanSlant8-Regular"]
V27?	03_infra/src/fonts.rs	753	find_exception	DECLARATIVE-TABLE	4 arms ["LMRoman9-Regular" | "LMRoman9-Italic" | "LMRoman9-Bold" | "LMRomanSlant9-Regular"]
V27?	03_infra/src/fonts.rs	754	find_exception	DECLARATIVE-TABLE	4 arms ["LMRoman12-Regular" | "LMRoman12-Italic" | "LMRoman12-Bold" | "LMRomanSlant12-Regular"]
V27?	03_infra/src/fonts.rs	755	find_exception	DECLARATIVE-TABLE	2 arms ["LMRoman17-Regular" | "LMRomanSlant17-Regular"]
V27?	03_infra/src/fonts.rs	770	find_exception	DECLARATIVE-TABLE	2 arms ["LMSans8-Regular" | "LMSans8-Oblique"]
V27?	03_infra/src/fonts.rs	771	find_exception	DECLARATIVE-TABLE	2 arms ["LMSans9-Regular" | "LMSans9-Oblique"]
V27?	03_infra/src/fonts.rs	772	find_exception	DECLARATIVE-TABLE	2 arms ["LMSans12-Regular" | "LMSans12-Oblique"]
V27?	03_infra/src/fonts.rs	773	find_exception	DECLARATIVE-TABLE	2 arms ["LMSans17-Regular" | "LMSans17-Oblique"]
V27?	03_infra/src/fonts.rs	784	find_exception	DECLARATIVE-TABLE	2 arms ["STKaitiSC-Regular" | "STKaitiTC-Regular"]
V27?	03_infra/src/world.rs	754	read_path	MACRO-EQUIVALENCE	2 arms [FileError::Other(e) | _]
V27?	03_infra/src/world.rs	789	read_bytes	MACRO-EQUIVALENCE	2 arms [FileError::Other(e) | _]
V27?	01_core/src/compiler/stdlib/counter.rs	110	selector_to_key	OVERLAP-OR-SUBSUMPTION	2 arms [Selector::Within { base, .. } | Selector::Where { base, .. }]
V27?	01_core/src/compiler/stdlib/state.rs	214	value_to_content	OVERLAP-OR-SUBSUMPTION	2 arms [Value::Array(_) | Value::Dict(_)]
V27?	01_core/src/compiler/stdlib/html.rs	620	cast_attr	BINDING-DEPENDENT	2 arms [Value::Float(value) | Value::Int(value)]
V27?	01_core/src/compiler/stdlib/shapes.rs	41	parse_color	DECLARATIVE-TABLE	2 arms ["cyan" | "aqua"]
V27?	03_infra/src/export/svg.rs	284	render_item	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { .. } | FrameItem::Glyph { .. }]
V27?	03_infra/src/export/render.rs	192	render_item	EMPTY-EQUIVALENCE	2 arms [FrameItem::Text { .. } | FrameItem::Glyph { .. }]
V27?	03_infra/src/export/render.rs	229	render_item	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Link { items, .. } | FrameItem::Semantic { items, .. }]
V27?	03_infra/src/export/html.rs	405	supports_adjacent_space	BINDING-DEPENDENT	2 arms [Content::Strong(elem) | Content::Emph(elem)]
V27?	01_core/src/compiler/math/symbols.rs	74	ident_to_unicode	DECLARATIVE-TABLE	2 arms ["prod" | "product"]
V27?	01_core/src/compiler/math/symbols.rs	109	ident_to_unicode	DECLARATIVE-TABLE	2 arms ["dots" | "ldots"]
V27?	03_infra/src/export/gradients/mod.rs	234	walk	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Link { items, .. } | FrameItem::Semantic { items, .. }]
V27?	01_core/src/compiler/stdlib/foundations/datetime.rs	123	native_datetime_display	BINDING-DEPENDENT	2 arms [[Value::Datetime(value)] | [Value::Datetime(value), Value::Auto]]
V27?	01_core/src/compiler/math/layout/tests.rs	3384	script_y_offset	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Glyph { pos, .. } | FrameItem::Text { pos, .. }]
V27?	01_core/src/compiler/math/layout/spacing.rs	48	base_math_class	BINDING-DEPENDENT	2 arms [Content::MathLimitsOverride(e) | Content::Equation(e)]
V27?	01_core/src/compiler/math/layout/spacing.rs	264	spacing_between_class	OVERLAP-OR-SUBSUMPTION	5 arms [(_, Punctuation) | (Opening, _) | (_, Closing) | (Relation, Relation) | (Large, Opening) | (Large, Fence) | (Opening, Fence) | (Fence, Closing)]
V27?	01_core/src/compiler/math/layout/spacing.rs	265	spacing_between_class	OVERLAP-OR-SUBSUMPTION	3 arms [(Punctuation, _) | (Large, _) | (_, Large)]
V27?	01_core/src/compiler/math/layout/spacing.rs	272	spacing_between_class	OVERLAP-OR-SUBSUMPTION	2 arms [(Relation, _) | (_, Relation)]
V27?	01_core/src/compiler/math/layout/spacing.rs	276	spacing_between_class	OVERLAP-OR-SUBSUMPTION	2 arms [(Binary, _) | (_, Binary)]
V27?	01_core/src/compiler/math/layout/spacing.rs	389	compute_gaps	OVERLAP-OR-SUBSUMPTION	4 arms [(_, Punctuation) | (Opening, _) | (_, Closing) | (Relation, Relation) | (Large, Opening) | (Large, Fence)]
V27?	01_core/src/compiler/math/layout/attach.rs	62	layout_attach	BINDING-DEPENDENT	3 arms [Content::MathLimitsOverride(e) | Content::MathClassOverride(e) | Content::MathStyled(e)]
V27?	01_core/src/compiler/math/layout/attach.rs	174	content_is_text_like	BINDING-DEPENDENT	4 arms [Content::MathDelimited(e) | Content::MathClassOverride(e) | Content::MathLimitsOverride(e) | Content::MathStyled(e)]
V27?	01_core/src/compiler/math/layout/mod.rs	72	place	OVERLAP-OR-SUBSUMPTION	3 arms [FrameItem::Text { ref mut pos, .. } | FrameItem::TextShaped { ref mut pos, .. } | FrameItem::Glyph { ref mut pos, .. }]
V27?	01_core/src/compiler/math/layout/mod.rs	90	place	EMPTY-EQUIVALENCE	4 arms [FrameItem::Image { .. } | FrameItem::Shape { .. } | FrameItem::Group { .. } | FrameItem::Link { .. }]
V27?	01_core/src/compiler/math/layout/mod.rs	689	layout_node	BINDING-DEPENDENT	2 arms [Content::MathLimitsOverride(e) | Content::Strike(e)]
V27?	01_core/src/compiler/math/layout/mod.rs	1716	hconcat_spaced	OVERLAP-OR-SUBSUMPTION	5 arms [FrameItem::Text { ref mut pos, .. } | FrameItem::TextShaped { ref mut pos, .. } | FrameItem::Glyph { ref mut pos, .. } | FrameItem::Shape { ref mut pos, .. } | FrameItem::Group { ref mut pos, .. }]
V27?	01_core/src/compiler/math/layout/mod.rs	1729	hconcat_spaced	EMPTY-EQUIVALENCE	2 arms [FrameItem::Image { .. } | FrameItem::Link { .. }]
V27?	01_core/src/compiler/math/layout/mod.rs	1782	flatten_math_sequence_nodes	BINDING-DEPENDENT	2 arms [Content::MathSequence(children) | Content::Sequence(children)]
V27?	01_core/src/compiler/math/layout/mod.rs	1817	apply_math_default	OVERLAP-OR-SUBSUMPTION	2 arms [Content::MathStyled(_) | Content::MathOp(_)]
V27?	01_core/src/compiler/lexer/mod.rs	212	keyword	DECLARATIVE-TABLE	2 arms ["true" | "false"]
V27?	01_core/src/compiler/lexer/markup.rs	42	markup	DECLARATIVE-TABLE	2 arms ['\'' | '"']
V27?	01_core/src/compiler/stdlib/gradients.rs	276	sample_gradient	BINDING-DEPENDENT	3 arms [Gradient::Linear(v) | Gradient::Radial(v) | Gradient::Conic(v)]
V27?	01_core/src/compiler/stdlib/gradients.rs	327	resolved_stops	BINDING-DEPENDENT	3 arms [Gradient::Linear(v) | Gradient::Radial(v) | Gradient::Conic(v)]
V27?	01_core/src/compiler/stdlib/gradients.rs	407	native_gradient_sharp	BINDING-DEPENDENT	3 arms [Gradient::Linear(v) | Gradient::Radial(v) | Gradient::Conic(v)]
V27?	01_core/src/compiler/stdlib/gradients.rs	488	native_gradient_repeat	BINDING-DEPENDENT	3 arms [Gradient::Linear(v) | Gradient::Radial(v) | Gradient::Conic(v)]
V27?	01_core/src/compiler/stdlib/gradients.rs	607	parse_space_named	BINDING-DEPENDENT	2 arms [None | Some(Value::Auto)]
V27?	01_core/src/compiler/layout/tests.rs	918	has_text	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { text, .. } | FrameItem::TextShaped { text, .. }]
V27?	01_core/src/compiler/layout/tests.rs	946	collect_text	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { text, .. } | FrameItem::TextShaped { text, .. }]
V27?	01_core/src/compiler/layout/tests.rs	2280	sum_block_limites_empilhados_verticalmente	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { pos, .. } | FrameItem::Glyph { pos, .. }]
V27?	01_core/src/compiler/layout/tests.rs	2325	sum_inline_usa_right_scripts	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { pos, .. } | FrameItem::Glyph { pos, .. }]
V27?	01_core/src/compiler/layout/tests.rs	2417	align_duas_linhas_tem_ys_distintos	OVERLAP-OR-SUBSUMPTION	2 arms [crate::entities::layout_types::FrameItem::Text { pos, .. } | crate::entities::layout_types::FrameItem::Glyph { pos, .. }]
V27?	01_core/src/compiler/layout/tests.rs	6911	layout_stack_ltr_empilha_horizontalmente	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { pos, text, .. } | FrameItem::TextShaped { pos, text, .. }]
V27?	01_core/src/compiler/layout/tests.rs	21561	p994_box_em_math_produz_caixa	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Group { .. } | FrameItem::Shape { stroke: Some(_), .. }]
V27?	01_core/src/compiler/parse/code.rs	208	code_primary	OVERLAP-OR-SUBSUMPTION	2 arms [SyntaxKind::Raw | SyntaxKind::None | SyntaxKind::Auto | SyntaxKind::Int | SyntaxKind::Float | SyntaxKind::Bool | SyntaxKind::Numeric | SyntaxKind::Str | SyntaxKind::Label]
V27?	01_core/src/compiler/stdlib/structural/bibliography.rs	326	native_bibliography	OVERLAP-OR-SUBSUMPTION	2 arms [Some(Value::None) | Some(_)]
V27?	01_core/src/compiler/stdlib/structural/bibliography.rs	333	native_bibliography	OVERLAP-OR-SUBSUMPTION	2 arms [Value::None | _]
V27?	01_core/src/compiler/stdlib/numbering.rs	201	format_numeral	OVERLAP-OR-SUBSUMPTION	2 arms ['1' | _]
V27?	01_core/src/compiler/stdlib/structural/outline.rs	73	native_outline	OVERLAP-OR-SUBSUMPTION	2 arms [(Some(Ok(t)), _) | (None, Some(Ok(t)))]
V27?	01_core/src/compiler/stdlib/structural/outline.rs	74	native_outline	OVERLAP-OR-SUBSUMPTION	2 arms [(Some(Err(e)), _) | (None, Some(Err(e)))]
V27?	01_core/src/compiler/stdlib/structural/table_grid.rs	291	extract_usize_or_none_min	DECISION-EQUIVALENCE	2 arms [Value::Auto | Value::None]
V27?	01_core/src/compiler/stdlib/structural/table_grid.rs	506	extract_bool_with_default	BINDING-DEPENDENT	2 arms [Some(Value::None) | None]
V27?	01_core/src/compiler/stdlib/structural/title.rs	72	native_title	OVERLAP-OR-SUBSUMPTION	2 arms [(Some(Ok(b)), _) | (None, Some(Ok(b)))]
V27?	01_core/src/compiler/stdlib/structural/title.rs	73	native_title	OVERLAP-OR-SUBSUMPTION	2 arms [(Some(Err(e)), _) | (None, Some(Err(e)))]
V27?	01_core/src/compiler/layout/stack.rs	35	walk	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { pos, text, style } | FrameItem::TextShaped { pos, text, style, .. }]
V27?	01_core/src/compiler/parse/markup.rs	94	markup_expr	OVERLAP-OR-SUBSUMPTION	3 arms [SyntaxKind::Shebang | SyntaxKind::Text | SyntaxKind::Linebreak | SyntaxKind::Escape | SyntaxKind::Shorthand | SyntaxKind::SmartQuote | SyntaxKind::Link | SyntaxKind::Label | SyntaxKind::Raw]
V27?	01_core/src/compiler/parse/math.rs	203	math_op	DECISION-EQUIVALENCE	2 arms [SyntaxKind::Underscore | SyntaxKind::Hat]
V27?	01_core/src/compiler/layout/link.rs	69	link_bbox	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Text { pos, text, style } | FrameItem::TextShaped { pos, text, style, .. }]
V27?	01_core/src/compiler/layout/footnote_flush.rs	77	flush_pending_footnote_bodies	OVERLAP-OR-SUBSUMPTION	6 arms [FrameItem::Text { pos, .. } | FrameItem::TextShaped { pos, .. } | FrameItem::Glyph { pos, .. } | FrameItem::Image { pos, .. } | FrameItem::Shape { pos, .. } | FrameItem::Group { pos, .. }]
V27?	01_core/src/compiler/layout/figure.rs	31	layout	OVERLAP-OR-SUBSUMPTION	2 arms [Some(Value::None) | Some(_)]
V27?	01_core/src/compiler/layout/equation.rs	310	layout_equation	OVERLAP-OR-SUBSUMPTION	2 arms [FrameItem::Glyph { pos, glyph_id, x_advance, size, style, base_char } | FrameItem::Glyph { pos, glyph_id, x_advance, size, style, base_char }]
V27?	01_core/src/compiler/layout/equation.rs	325	layout_equation	EMPTY-EQUIVALENCE	2 arms [FrameItem::Image { .. } | FrameItem::Link { .. }]
V27?	01_core/src/compiler/layout/columns.rs	116	has_visible_content	OVERLAP-OR-SUBSUMPTION	2 arms [Content::Text(_) | _]
V27?	01_core/src/compiler/layout/cite.rs	116	layout	MACRO-EQUIVALENCE	3 arms [(CitationStyle::Numeric, CitationForm::Normal, None) | (_, CitationForm::Normal, _) | (_, _, None)]
