id	rule	level	path	line	evidence_sha256	semantic_cluster	initial_verdict	final_verdict	rationale	test_or_oracle	commit
C0011	V19	info	01_core/rules/wildcard_saturation.rs	112	453cf29dec48b5fde22bebce6fc7065ff1b6fdb3583552bd83d010dac66a7981	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0012	V19	info	01_core/rules/wildcard_saturation.rs	126	5def40bf71f1e82cc66dcf434856d7d5e6bc90f55d8d518d9b364c14b5b0b34e	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0013	V20	info	02_shell/fix_hashes.rs	310	d0165a2c76d9fbad9ab48dc4ffbdf0e98ba760cb92a4d86d4b635a26a15d4879	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0014	V20	info	02_shell/fix_hashes.rs	397	e58bdf4bf537c1404db08d88507b48a1c0a6e73970d42b2cdd89e62709cf9f1c	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0015	V20	info	02_shell/update_snapshot.rs	148	72aa8e957ce5e2d8eb2eec39082a9150f7171c4b0941aef0c64eb68741059758	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0016	V19	info	02_shell/update_snapshot.rs	249	d0a24613ae7853f4fe216018dce8b46bb7896cd89d1c2c5919745f421c4b822b	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0017	V19	info	02_shell/update_snapshot.rs	262	12c491850bad6425166ec41751973bcde5568087e94269538251f8823f88b700	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0018	V19	info	02_shell/update_snapshot.rs	338	817c13a971db6eb098847d763e2f34885edc6032604f318dfcf02ee2163fb310	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0019	V19	info	03_infra/c_parser.rs	229	3428a40bddbf029b4a6955103e450dc922b69a31468a90ffc305ac7688e72982	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0020	V19	info	03_infra/c_parser.rs	353	4d1b9b9e4d2cc502291b81b0001b72840e66f6c81623cad65886cad7db86675f	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0021	V19	info	03_infra/c_parser.rs	507	80425586ad3c8d4cc0f7055010be9b81a16d03c9bfceae42f8248c42bc34b938	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0022	V16	info	03_infra/citation_freshness.rs	40	a55cf3f9f2f83808185d478632e03884015af398b0abdb06fd4f855869481391	wildcard	REFACTOR	REFACTORED	componentes confinados explicitados sem wildcard	testes direcionados V16 + suíte do módulo	30782d7
C0023	V19	info	03_infra/citation_freshness.rs	61	6d71488d6a413c38d336459a1038dfaf9b16543d7e6c453fd6133c3d97533104	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0024	V19	info	03_infra/config.rs	397	635a398da4a54c911698828db66877ad6bb2d426daa22645fb73ab558bf5918b	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0025	V19	info	03_infra/config.rs	398	3e6dde5ef773d72db131bf2c2826af862d4c15cd239c41fdd185b830bbffc114	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0026	V19	info	03_infra/config.rs	399	e230a3c7b993317e32a5cb8607b8acb818c140ab2f15166f91efe33c34f418ba	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0027	V19	info	03_infra/config.rs	400	1c4d98db280f0af6c7e20c4a283ada4f3da7b17aef2e58bd6d8d967fe1618c9f	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0028	V19	info	03_infra/config.rs	506	4eccd8c8c93f7397f1f7eb750d475c89085f9aa15061ff3667cd9dcfefe499c3	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0029	V19	info	03_infra/cpp_parser.rs	222	64d598583291734e60a740ff3afc88778b8ade9bcfa63a3e169655d0d150f94f	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0030	V19	info	03_infra/cpp_parser.rs	348	444a12b3463af1443b246d9165fbd189c26a5ac4d56e659ae097f37993ec2ed2	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0031	V19	info	03_infra/cpp_parser.rs	521	ec8f38f3cb1ec743e455185338ae0db971114d4a2db3ee8bb188604ca4f7752f	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0032	V20	info	03_infra/git_refinement.rs	282	150726db15d73fb1567bfc1a858090ea8e57c52cf155c64f2cf748bc893d8a70	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0033	V20	info	03_infra/git_refinement.rs	286	150726db15d73fb1567bfc1a858090ea8e57c52cf155c64f2cf748bc893d8a70	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0034	V20	info	03_infra/git_refinement.rs	642	249a8baa3844e42f868c9b56a5d85ff166c46bb3bda4bdac89193ed2076c33aa	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0035	V20	info	03_infra/git_refinement.rs	658	1b3942f1dc473e13e1fdae0c7a228099edcd59558ca4b685e2e4a8cae857a61b	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0036	V19	info	03_infra/git_refinement.rs	659	05fcec23cb0227a28c302bfb78ff3675c6c1153c44199062a0c23f2c93a92175	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0037	V20	info	03_infra/git_refinement.rs	659	78f61ee23c975ca0204e9a981ca21fe3c0006a91c7eb5c142029cf4e647e30b1	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0038	V20	info	03_infra/git_refinement.rs	664	13ea39eed7a0c43347ac030bb5ca0c96ddcfe10faabfc5ad297ed3d9e08c6884	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0039	V20	info	03_infra/git_refinement.rs	667	9dd83e44a0e5f2084539c03da8e1fffd2c5bf1fab03818bd144851cbd316600b	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0040	V20	info	03_infra/git_refinement.rs	670	22a42aef30df00143b418178c461223fff57aba22897ff4040cd83022c4ea902	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0041	V19	info	03_infra/git_refinement.rs	673	9dcc2ab8f1badb09f1fd8e9c9c37d1ee3258f8f442ce819405885ebf6c73e8bf	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0042	V20	info	03_infra/git_refinement.rs	673	be165873e20c185f58e00917f291c75341894f14284cbb3a4771b82f25fe7a3e	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0043	V20	info	03_infra/git_refinement.rs	881	150726db15d73fb1567bfc1a858090ea8e57c52cf155c64f2cf748bc893d8a70	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0044	V19	info	03_infra/git_refinement.rs	974	42cb72d5b3646aa2e755758cafaf370e601ab44657b54800a647c705aea82c31	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0045	V19	info	03_infra/git_refinement.rs	975	79fc1b3279b1a40ec002649789d0daa254d78f5f8c71ce3b929857ea8095a44b	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0046	V19	info	03_infra/git_refinement.rs	1052	d168df14fa06f9f48ee801a3c9b4004b4429363c7b5c12bf6b420b76219676b5	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0047	V19	info	03_infra/git_refinement.rs	1076	d168df14fa06f9f48ee801a3c9b4004b4429363c7b5c12bf6b420b76219676b5	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0048	V19	info	03_infra/go_parser.rs	224	2e4717432a7038532afd842e8e2aa75c7a411fba6e98964aa6d342936e2dfd73	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0049	V19	info	03_infra/prompt_io.rs	26	000743a696fbd8bd39716d7acd21c79b3e6c5f15398ea5dc346b254394e73e3e	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0050	V19	info	03_infra/py_parser.rs	241	b37ba80d0bf9e6a4b05e77c0a160dc04b6f541cc884c31cc1c6b2ceec6145de3	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0051	V19	info	03_infra/py_parser.rs	671	5272343864f0cf407f6a0d56a3105f820ad4bc4a2142b730e32073d41ef0e9f2	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0052	V19	info	03_infra/py_parser.rs	893	1ecc46c7a2a24491f5b2d4ce39f2a005a545f1a47df13d01b29a5e8facd423da	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0053	V19	info	03_infra/py_parser.rs	899	3e6a3e227629476489255fb34c61651865726045189c25bd41ada976c97eaea2	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0054	V19	info	03_infra/py_parser.rs	1041	4648774c45f684f4ba18ca63b01ef1d2e0932d5f423b5dddfca7cbc7f0105930	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0055	V19	info	03_infra/py_parser.rs	1054	1b238f4ffdc1701dfeaa03ff26332fe9a82430d677b6d6362b0406c9171f8934	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0056	V20	info	03_infra/py_parser.rs	1975	b7b1577c89e520ac9a29de090be4480a8385bc4988e93fbd84d281cfb21ed2fb	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0057	V16	info	03_infra/refinement_snapshot.rs	382	5cb09f56a680e7fb2d846c4732cf69d5901089d6265c028b5739a2fe038782f5	wildcard	REFACTOR	REFACTORED	variantes escalares TOML enumeradas totalmente	testes direcionados V16 + suíte do módulo	30782d7
C0058	V19	info	03_infra/rs_parser.rs	250	713f0f091f9cdb1e6eea6bfa35d57bcbc2e7d7a94ea2270effb276d91f1644e6	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0059	V19	info	03_infra/rs_parser.rs	350	5b7793af8127983b08cd74d8154fa42462fb8d7e0674f7ce69649cb02b4ecd61	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0060	V19	info	03_infra/rs_parser.rs	814	ed4522b70013dbe23e9c90d4c18100c6d3200e661b5b2912f191433b33df5911	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0061	V19	info	03_infra/rs_parser.rs	1327	4b79246edd6056ae49256723292bb50af6924497b7f3d499de15643c66c6654d	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0062	V19	info	03_infra/rs_parser.rs	1328	df97c1a758d1571548055e5b6e1537f89f348e34615d4d3d27af6c559309df55	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0063	V19	info	03_infra/rs_parser.rs	1556	df77de38ff1aa7bb3b074e2bd6561a9c6b74b2705a234171549d44d5e32378a7	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0064	V19	info	03_infra/rs_parser.rs	1649	c468fd134dd9a8bb5f8c3523a488723feaa571525af8d185633c5c5ed33b79a1	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0065	V19	info	03_infra/rs_parser.rs	1652	7f8bf5450af37d79ab61632ecd0e93405d1f956f2079d7f2a4b9e3a9891494b7	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0066	V19	info	03_infra/rs_parser.rs	1661	d162fefe679ccd277b7868dfa4536b37bda77a8637f4a40e45b765d5786f34af	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0067	V19	info	03_infra/rs_parser.rs	1775	d0cff27daa1725bb20c01b3ac0f20da9e633303fc26172769c5f9faedd5d6f6c	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0068	V20	info	03_infra/rs_parser.rs	1794	f410ef6d7ca5d8edc0c73cf92819232cf77a6344cb3d607658d93e285521cd80	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0069	V19	info	03_infra/rs_parser.rs	2372	330df62164aafb86dbd8d7d9bec50f5e60863e7cca8f8fbed4f39b164da5e993	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0070	V19	info	03_infra/rs_parser.rs	2428	05d93201f0b32c47d56e7ea256f52869c86447df7b2ffe37c0e1b780ee24f4f6	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0071	V19	info	03_infra/rs_parser.rs	2559	b7b7aa190a7d44935dd7f3ae01263b5f5a317aa59cf0c8774561a26c55c703d1	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0072	V19	info	03_infra/rs_parser.rs	2578	6602958d4d7aaf5c72e5a7175a3f54d1b273b8f5a9e0e5595d7be28b767f144a	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0073	V19	info	03_infra/rs_parser.rs	2598	b52aa7258a6ffc4fd6ebf50e1d3342aac1aca190f8ea25a92407f0f38fe41b5b	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0074	V20	info	03_infra/rs_parser.rs	3898	7100133f1b94699bba7a9fbbc45e7f2b4cb049eddcfc1f531900dc9eae1022bb	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0075	V19	info	03_infra/ts_parser.rs	246	0264bb6760a16a42609f6e0a322f09db35d1f1b91e1a43c67ee3d2c4123a165e	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0076	V19	info	03_infra/ts_parser.rs	796	c408a2cb4c45d2a86939b32c9a4a52f98619345438ab1c2af7990d1dd8240634	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0077	V19	info	03_infra/ts_parser.rs	801	93401834e4da31cbe753e41a37cf8213ac7afc67d2ce8e7ec09f75030f929a0d	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0078	V19	info	03_infra/ts_parser.rs	821	037bc95e90cf998f7733e3c8d72b309740d21b7426ca4d0a8efc65455999e11a	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0079	V19	info	03_infra/ts_parser.rs	1105	723ea8a67a25351881bb0ce512fa3393030942d76d4fa0a4db6320c418d2df20	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0080	V20	info	03_infra/ts_parser.rs	1807	29eea2f3e6efcbe1bef1a78dba8b299576e7bac79ce721a0987d2976fead1e57	boundary-pattern	ACCEPT-BOUNDARY	ACCEPT-BOUNDARY	padrão torna explícito o estado fechado consumido na fronteira sem ocultar erro	suíte existente + ratchet estrutural	pending
C0081	V19	info	03_infra/walker.rs	121	e53572a2c3c8bd647d9cb03c41971ce9c636cf4420f9db3dd26d2f635a46f3b1	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0082	V19	info	03_infra/walker.rs	123	70bc87951d2127258fdba52152774dc3b65e533ad596a61f89ce807997290664	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0083	V19	info	03_infra/walker.rs	124	8178a154d175c5a015dc117aa262a22131f767a2701c4ae4add84d3b73a93abe	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0084	V19	info	03_infra/walker.rs	128	c4e2f5548ee83fd1dfb8782cc8a1cc14918e5cba0dbf62863f6498b89648ce23	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0085	V19	info	03_infra/walker.rs	151	5f2680d711bebb1f69127d4eeb49b06f203589b2971436ac7d948d762fbf9df7	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0086	V19	info	03_infra/walker.rs	195	9103028eeb5446801f6ec5de335f05bacf79112d7701fad80988b6b23e82e03c	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0087	V19	info	03_infra/walker.rs	224	7d0e1ffd9dee1ab7d3243612470b25fa7c543579746424cff420a55f8ca7452d	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0088	V19	info	03_infra/walker.rs	245	4b7841001a75632a567c1c2eaa437025ebcaadb80479e42a62e1e80c689f14f4	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0089	V19	info	03_infra/zig_parser.rs	218	6bf5d9c9e97a6e5d7c163d9c54ce4733b1cc52c076a5ae4277cd38bb6469e6ef	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
C0090	V19	info	lab/refinement_probe.rs	71	5ebe4d4d757ef04ced8c709f4a1d54eb61443fa1596cca7578fcc2a6672d50a6	or-equivalence	ACCEPT-EQUIVALENT	ACCEPT-EQUIVALENT	alternativas entram no mesmo braço e compartilham integralmente resultado e evidência	suíte existente + ratchet estrutural	pending
